Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login-DataDrivenTest,Chrome 114.0.0.0,,,2023-06-07 20:29:11,2023-06-07 20:30:23,1m - 11.091s,PASSED
,,,,,,,
Test Cases/Old/Log In/SignIn,Chrome 114.0.0.0,,,2023-06-07 20:29:17,2023-06-07 20:29:34,17.374s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 20:29:17,2023-06-07 20:29:20,3.497s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-07 20:29:21,2023-06-07 20:29:23,2.762s,PASSED
"navigateToUrl(""https://magento.softwaretestingboard.com/"")",Chrome 114.0.0.0,,,2023-06-07 20:29:23,2023-06-07 20:29:25,2.047s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:29:25,2023-06-07 20:29:29,3.316s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Email_loginusername""), ""firstlast@email.com"")",Chrome 114.0.0.0,,,2023-06-07 20:29:29,2023-06-07 20:29:30,1.143s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Login/input_Password_loginpassword""), ""Pass.123"")",Chrome 114.0.0.0,,,2023-06-07 20:29:30,2023-06-07 20:29:31,0.823s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Login/span_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:29:31,2023-06-07 20:29:33,2.615s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-07 20:29:33,2023-06-07 20:29:34,0.712s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 20:29:34,2023-06-07 20:29:34,0.007s,PASSED
,,,,,,,
Test Cases/Old/Log In/SignIn,Chrome 114.0.0.0,,,2023-06-07 20:29:34,2023-06-07 20:29:50,16.425s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 20:29:34,2023-06-07 20:29:37,2.746s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-07 20:29:37,2023-06-07 20:29:40,2.818s,PASSED
"navigateToUrl(""https://magento.softwaretestingboard.com/"")",Chrome 114.0.0.0,,,2023-06-07 20:29:40,2023-06-07 20:29:41,1.846s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Sign In""))",Chrome 114.0.0.0,,,2023-06-07 20:29:41,2023-06-07 20:29:45,3.345s,PASSED
